dataset,horizon,model,corruption,corruption_seed,mse,mae,rmse,clean_mse,relative_degradation_pct
ETTh1,720,PatchTST-M_s2028,gaussian_0.10,37,0.09199081361293793,0.23884449899196625,0.3032998740673065,0.08919665217399597,3.132585552080336
ETTh1,720,Last,gaussian_0.10,43,0.13863135874271393,0.2943008542060852,0.3723323345184326,0.1291794776916504,7.316859628140815
ETTh1,720,ARRidge,gaussian_0.10,43,0.15497777530264137,0.32106197026925226,0.3936721672948716,0.15445524568591404,0.33830486909449675
ETTh1,720,PatchTST-M_s2026,gaussian_0.10,43,0.09465184062719345,0.24231959879398346,0.307655394077301,0.09192296862602234,2.9686508627383423
ETTh1,720,PatchTST-M_s2027,gaussian_0.10,43,0.09515780955553055,0.24321162700653076,0.30847659707069397,0.09038527309894562,5.28021467762827
ETTh1,720,PatchTST-M_s2028,gaussian_0.10,43,0.09306660294532776,0.2404077649116516,0.3050681948661804,0.08919665217399597,4.338672671013111
ETTh1,720,Last,random_missing_0.10,31,0.12885573506355286,0.28306257724761963,0.35896480083465576,0.1291794776916504,-0.25061459752168114
ETTh1,720,ARRidge,random_missing_0.10,31,0.15862311704309087,0.3253301839343226,0.39827517753820774,0.15445524568591404,2.698433024186331
ETTh1,720,PatchTST-M_s2026,random_missing_0.10,31,0.09433125704526901,0.2411344200372696,0.3071339428424835,0.09192296862602234,2.619898438054702
ETTh1,720,PatchTST-M_s2027,random_missing_0.10,31,0.0939125046133995,0.24081985652446747,0.3064514696598053,0.09038527309894562,3.9024405121756978
ETTh1,720,PatchTST-M_s2028,random_missing_0.10,31,0.09430490434169769,0.24067655205726624,0.30709102749824524,0.08919665217399597,5.726955040573767
ETTh1,720,Last,random_missing_0.10,37,0.1291842758655548,0.2834745943546295,0.35942214727401733,0.1291794776916504,0.0037143468839984095
ETTh1,720,ARRidge,random_missing_0.10,37,0.1584014965845815,0.3251191666368938,0.3979968549933297,0.15445524568591404,2.5549477980775004
ETTh1,720,PatchTST-M_s2026,random_missing_0.10,37,0.0940646380186081,0.24083223938941956,0.30669960379600525,0.09192296862602234,2.3298522932814425
ETTh1,720,PatchTST-M_s2027,random_missing_0.10,37,0.09345810115337372,0.24025364220142365,0.30570918321609497,0.09038527309894562,3.3996999168927067
ETTh1,720,PatchTST-M_s2028,random_missing_0.10,37,0.09362667053937912,0.2397918701171875,0.305984765291214,0.08919665217399597,4.966574705899851
ETTh1,720,Last,random_missing_0.10,43,0.12919412553310394,0.28335097432136536,0.3594358563423157,0.1291794776916504,0.01133913971111955
ETTh1,720,ARRidge,random_missing_0.10,43,0.15833671211807102,0.3249843703545172,0.3979154585060387,0.15445524568591404,2.513003954588866
ETTh1,720,PatchTST-M_s2026,random_missing_0.10,43,0.09435001760721207,0.24120168387889862,0.3071644902229309,0.09192296862602234,2.640307441618739
ETTh1,720,PatchTST-M_s2027,random_missing_0.10,43,0.09337747097015381,0.24006064236164093,0.30557727813720703,0.09038527309894562,3.3104927037534093
ETTh1,720,PatchTST-M_s2028,random_missing_0.10,43,0.09321825206279755,0.23926465213298798,0.30531665682792664,0.08919665217399597,4.508689273400801
ETTh1,720,Last,tail_missing_12,31,0.13188865780830383,0.2872927784919739,0.3631647825241089,0.1291794776916504,2.097221760812662
ETTh1,720,ARRidge,tail_missing_12,31,0.15831083809596996,0.3253389599077442,0.3978829452187791,0.15445524568591404,2.496252162193513
ETTh1,720,PatchTST-M_s2026,tail_missing_12,31,0.10163984447717667,0.25151076912879944,0.31881004571914673,0.09192296862602234,10.570672375351897
ETTh1,720,PatchTST-M_s2027,tail_missing_12,31,0.0985790565609932,0.24799005687236786,0.31397300958633423,0.09038527309894562,9.065396586319729
ETTh1,720,PatchTST-M_s2028,tail_missing_12,31,0.09702583402395248,0.24526435136795044,0.31148970127105713,0.08919665217399597,8.777439129311858
ETTh1,720,Last,tail_missing_12,37,0.13188865780830383,0.2872927784919739,0.3631647825241089,0.1291794776916504,2.097221760812662
ETTh1,720,ARRidge,tail_missing_12,37,0.15831083809596996,0.3253389599077442,0.3978829452187791,0.15445524568591404,2.496252162193513
ETTh1,720,PatchTST-M_s2026,tail_missing_12,37,0.10163984447717667,0.25151076912879944,0.31881004571914673,0.09192296862602234,10.570672375351897
ETTh1,720,PatchTST-M_s2027,tail_missing_12,37,0.0985790565609932,0.24799005687236786,0.31397300958633423,0.09038527309894562,9.065396586319729
ETTh1,720,PatchTST-M_s2028,tail_missing_12,37,0.09702583402395248,0.24526435136795044,0.31148970127105713,0.08919665217399597,8.777439129311858
ETTh1,720,Last,tail_missing_12,43,0.13188865780830383,0.2872927784919739,0.3631647825241089,0.1291794776916504,2.097221760812662
